"","ID","name","prefix","r","g","b","alp","First.Year","Last.Year","hex","rgb","h","s","v"
"29",69,"Light Purple","rgba","205","98","152","1",2003,2007,"#CD6298","205,98,152",0.91588785046729,0.521951219512195,0.803921568627451
"30",29,"Bright Pink","rgba","228","173","200","1",2003,2023,"#E4ADC8","228,173,200",0.918181818181818,0.241228070175439,0.894117647058824
"31",230,"Trans-Pink","rgba","228","173","200","1",2000,2006,"#E4ADC8","228,173,200",0.918181818181818,0.241228070175439,0.894117647058824
"32",5,"Dark Pink","rgba","200","112","160","1",2003,2023,"#C870A0","200,112,160",0.909090909090909,0.44,0.784313725490196
"33",1054,"Trans-Medium Reddish Violet Opal","rgba","206","29","155","1",2020,2022,"#CE1D9B","206,29,155",0.88135593220339,0.859223300970874,0.807843137254902
"34",26,"Magenta","rgba","146","57","120","1",2000,2023,"#923978","146,57,120",0.882022471910112,0.60958904109589,0.572549019607843
"35",63,"Chrome Pink","rgba","170","77","142","1",2001,2018,"#AA4D8E","170,77,142",0.883512544802867,0.547058823529412,0.666666666666667
"36",22,"Purple","rgba","129","0","123","1",1996,2005,"#81007B","129,0,123",0.841085271317829,1,0.505882352941176
"37",373,"Sand Purple","rgba","132","94","132","1",2001,2003,"#845E84","132,94,132",0.833333333333333,0.287878787878788,0.517647058823529
"38",1007,"Reddish Lilac","rgba","142","85","151","1",2004,2005,"#8E5597","142,85,151",0.810606060606061,0.437086092715232,0.592156862745098
"39",236,"Trans-Light Purple","rgba","150","112","159","1",2000,2006,"#96709F","150,112,159",0.801418439716312,0.29559748427673,0.623529411764706
"40",30,"Medium Lavender","rgba","172","120","186","1",2011,2023,"#AC78BA","172,120,186",0.797979797979798,0.354838709677419,0.729411764705882
"41",1059,"Trans-Purple Opal","rgba","131","32","183","1",2020,2023,"#8320B7","131,32,183",0.775938189845475,0.825136612021858,0.717647058823529
"42",31,"Lavender","rgba","225","213","237","1",2011,2023,"#E1D5ED","225,213,237",0.75,0.10126582278481,0.929411764705882
"43",85,"Dark Purple","rgba","63","54","145","1",2000,2023,"#3F3691","63,54,145",0.683150183150183,0.627586206896552,0.568627450980392
"44",1001,"Medium Violet","rgba","147","145","228","1",2000,2005,"#9391E4","147,145,228",0.670682730923695,0.364035087719298,0.894117647058824
"45",52,"Trans-Purple","rgba","165","165","203","1",2000,2023,"#A5A5CB","165,165,203",0.666666666666667,0.187192118226601,0.796078431372549
"46",129,"Glitter Trans-Purple","rgba","165","165","203","1",2000,2022,"#A5A5CB","165,165,203",0.666666666666667,0.187192118226601,0.796078431372549
"47",20,"Light Violet","rgba","201","202","226","1",1994,2005,"#C9CAE2","201,202,226",0.66,0.110619469026549,0.886274509803922
"48",23,"Dark Blue-Violet","rgba","32","50","176","1",2004,2006,"#2032B0","32,50,176",0.645833333333333,0.818181818181818,0.690196078431373
"49",112,"Medium Bluish Violet","rgba","104","116","202","1",1999,2004,"#6874CA","104,116,202",0.64625850340136,0.485148514851485,0.792156862745098
"50",89,"Royal Blue","rgba","76","97","219","1",2004,2005,"#4C61DB","76,97,219",0.642191142191142,0.65296803652968,0.858823529411765
"51",1061,"Trans-Dark Blue Opal","rgba","0","32","160","1",2021,2023,"#0020A0","0,32,160",0.633333333333333,1,0.627450980392157
"52",33,"Trans-Dark Blue","rgba","0","32","160","1",1965,2023,"#0020A0","0,32,160",0.633333333333333,1,0.627450980392157
"53",110,"Violet","rgba","67","84","163","1",1992,2008,"#4354A3","67,84,163",0.637152777777778,0.588957055214724,0.63921568627451
"54",1073,"Pearl Black","rgba","10","19","39","1",2003,2006,"#0A1327","10,19,39",0.614942528735632,0.743589743589744,0.152941176470588
"55",379,"Sand Blue","rgba","96","116","161","1",1965,2023,"#6074A1","96,116,161",0.615384615384615,0.403726708074534,0.631372549019608
"56",137,"Metal Blue","rgba","121","136","161","1",2002,2006,"#7988A1","121,136,161",0.604166666666667,0.248447204968944,0.631372549019608
"57",1,"Blue","rgba","0","85","191","1",1949,2023,"#0055BF","0,85,191",0.592495636998255,1,0.749019607843137
"58",73,"Medium Blue","rgba","90","147","219","1",1984,2023,"#5A93DB","90,147,219",0.593023255813954,0.589041095890411,0.858823529411765
"59",272,"Dark Blue","rgba","10","52","99","1",1961,2023,"#0A3463","10,52,99",0.588014981273408,0.898989898989899,0.388235294117647
"60",1006,"Trans-Light Royal Blue","rgba","180","212","247","1",2001,2005,"#B4D4F7","180,212,247",0.587064676616915,0.271255060728745,0.968627450980392
"61",143,"Trans-Medium Blue","rgba","207","226","247","1",2001,2018,"#CFE2F7","207,226,247",0.5875,0.161943319838057,0.968627450980392
"62",212,"Bright Light Blue","rgba","159","195","233","1",2004,2023,"#9FC3E9","159,195,233",0.585585585585586,0.317596566523605,0.913725490196078
"63",61,"Chrome Blue","rgba","108","150","191","1",1998,2006,"#6C96BF","108,150,191",0.582329317269076,0.43455497382199,0.749019607843137
"64",1070,"Pearl Blue","rgba","0","89","163","1",2003,2009,"#0059A3","0,89,163",0.575664621676892,1,0.63921568627451
