ID,name,rgb,First Year,Last Year
89,Royal Blue,4C61DB,2004,2005
1061,Trans-Dark Blue Opal,0020A0,2021,2023
33,Trans-Dark Blue,0020A0,1965,2023
110,Violet,4354A3,1992,2008
1073,Pearl Black,0A1327,2003,2006
379,Sand Blue,6074A1,1965,2023
137,Metal Blue,7988A1,2002,2006
1,Blue,0055BF,1949,2023
73,Medium Blue,5A93DB,1984,2023
272,Dark Blue,0A3463,1961,2023
1006,Trans-Light Royal Blue,B4D4F7,2001,2005
143,Trans-Medium Blue,CFE2F7,2001,2018
212,Bright Light Blue,9FC3E9,2004,2023
61,Chrome Blue,6C96BF,1998,2006
1070,Pearl Blue,0059A3,2003,2009
132,Speckle Black-Silver,05131D,2005,2013
133,Speckle Black-Gold,05131D,2010,2011
9,Light Blue,B4D2E3,1995,2007
43,Trans-Very Lt Blue,C1DFF0,2003,2006
313,Maersk Blue,3592C3,1974,2006
321,Dark Azure,078BC9,2011,2023
232,Sky Blue,7DBFDD,2003,2007
1074,Duplo Blue,009ECE,2003,2004
1051,Pastel Blue,5AC4DA,2005,2011
322,Medium Azure,36AEBF,2012,2023
11,Light Turquoise,55A5AF,1998,2004
1003,Glitter Trans-Light Blue,68BCC5,2015,2022
1053,Trans-Blue Opal,68BCC5,2020,2023
3,Dark Turquoise,008F9B,1998,2023
41,Trans-Light Blue,AEEFEC,1985,2023
323,Light Aqua,ADC3C0,2011,2023
118,Aqua,B3D7D1,1998,2022
288,Dark Green,184632,1961,2023
74,Medium Green,73DCA1,1994,2005
1071,Pearl Green,008E3C,2003,2006
378,Sand Green,A0BCAC,1964,2023
2,Green,237841,1949,2023
1058,Trans-Light Green,94E5AB,2005,2006
34,Trans-Green,84B68D,1969,2023
1060,Trans-Green Opal,84B68D,2021,2022
1077,Fabuland Lime,78FC78,1982,1986
10,Bright Green,4B9F4A,1949,2023
17,Light Green,C2DAB8,1992,2005
294,Glow In Dark Trans,BDC6AD,2005,2011
1057,Trans-Light Bright Green,C9E788,2003,2006
1086,Pearl Lime,6A7944,2001,2003
1002,Glitter Trans-Neon Green,C0F500,2015,2018
27,Lime,BBE90B,1997,2023
158,Yellowish Green,DFEEA5,2012,2023
120,Light Lime,D9E4A7,1998,2008
35,Trans-Bright Green,D9E4A7,2010,2023
115,Medium Lime,C7D23C,1998,2005
21,Glow In Dark Opaque,D4D5C9,1990,2011
326,Olive Green,9B9A5A,2012,2023
42,Trans-Neon Green,F8F184,1988,2022
1062,Vibrant Yellow,EBD800,2022,2023
226,Bright Light Yellow,FFF03A,2004,2023
334,Chrome Gold,BBA53D,1989,2023
1005,Trans-Fire Yellow,FBE890,2001,2006
54,Trans-Neon Yellow,DAB000,2001,2006
46,Trans-Yellow,F5CD2F,1969,2023
14,Yellow,F2CD37,1949,2023
18,Light Yellow,FBE696,1993,2006
82,Metallic Gold,DBAC34,1997,2023
191,Bright Light Orange,F8BB3D,2003,2023
19,Tan,E4CD9E,1958,2023
28,Dark Tan,958A73,1961,2023
297,Pearl Gold,AA7F2E,2002,2023
142,Pearl Light Gold,DCBC81,2000,2006
462,Medium Orange,FFA70B,1996,2019
308,Dark Brown,352100,2008,2023
1066,Curry,DD982E,2004,2005
1063,Metallic Copper,B46A00,2017,2021
366,Earth Orange,FA9C1C,1982,2006
125,Light Orange,F9BA61,1998,2005
1065,Reddish Gold,AC8247,2003,2005
68,Very Light Orange,F3CF9B,2000,2004
60,Chrome Antique Brass,645A4C,2001,2005
182,Trans-Orange,F08F1C,2002,2023
1089,Warm Tan,CCA373,2021,2023
78,Light Nougat,F6D7B3,1997,2023
1004,Trans-Flame Yellowish Orange,FCB76D,2003,2006
484,Dark Orange,A95500,1994,2023
25,Orange,FE8A18,1997,2023
