Date,close,year,month,dom,day_name,month_name,dow,eom,days_to_eom,wom,returns,cum_returns,returns0
2012-11-08,1377.51,2012,11,8,Thursday,November,3,2012-11-30,-22.0,2,-0.012279919394418748,-0.03675335903905452,-0.012204828867073525
2012-11-09,1379.85,2012,11,9,Friday,November,4,2012-11-30,-21.0,2,0.0016972760624254235,-0.0350560829766291,0.0016987172506914838
2012-11-12,1380.03,2012,11,12,Monday,November,0,2012-11-30,-18.0,2,0.0001304404541180304,-0.03492564252251107,0.0001304489618436655
2012-11-13,1374.53,2012,11,13,Tuesday,November,1,2012-11-30,-17.0,2,-0.003993383559691033,-0.0389190260822021,-0.003985420606798407
2012-11-14,1355.49,2012,11,14,Wednesday,November,2,2012-11-30,-16.0,2,-0.013948841925725652,-0.052867868007927754,-0.013852007595323457
2012-11-15,1353.33,2012,11,15,Thursday,November,3,2012-11-30,-15.0,3,-0.0015947906895288355,-0.05446265869745659,-0.0015935196866078138
2012-11-16,1359.88,2012,11,16,Friday,November,4,2012-11-30,-14.0,3,0.00482823867256954,-0.04963442002488705,0.004839913398801521
2012-11-19,1386.89,2012,11,19,Monday,November,0,2012-11-30,-11.0,3,0.019667369768091802,-0.029967050256795247,0.01986204665117519
2012-11-20,1387.81,2012,11,20,Tuesday,November,1,2012-11-30,-10.0,3,0.000663134777607155,-0.029303915479188092,0.0006633547000842732
2012-11-21,1391.03,2012,11,21,Wednesday,November,2,2012-11-30,-9.0,3,0.0023175148199863216,-0.02698640065920177,0.0023202023331725385
2012-11-23,1409.15,2012,11,23,Friday,November,4,2012-11-30,-7.0,4,0.012942205804868046,-0.014044194854333725,0.01302631862720438
2012-11-26,1406.29,2012,11,26,Monday,November,0,2012-11-30,-4.0,4,-0.002031654720931364,-0.01607584957526509,-0.0020295923074195032
2012-11-27,1398.94,2012,11,27,Tuesday,November,1,2012-11-30,-3.0,4,-0.005240224023848938,-0.021316073599114027,-0.005226518001265723
2012-11-28,1409.93,2012,11,28,Wednesday,November,2,2012-11-30,-2.0,4,0.007825250780979509,-0.013490822818134518,0.007855948074971142
2012-11-29,1415.95,2012,11,29,Thursday,November,3,2012-11-30,-1.0,5,0.004260626145993207,-0.009230196672141311,0.004269715517791761
2012-11-30,1416.18,2012,11,30,Friday,November,4,2012-11-30,0.0,5,0.00016242192307913683,-0.009067774749062174,0.000162435114234194
2012-12-03,1409.46,2012,12,3,Monday,December,0,2012-12-31,-28.0,1,-0.004756453525113891,-0.013824228274176065,-0.0047451595136212
2012-12-04,1407.05,2012,12,4,Tuesday,December,1,2012-12-31,-27.0,1,-0.001711338208048474,-0.015535566482224539,-0.0017098747037873618
2012-12-05,1409.28,2012,12,5,Wednesday,December,2,2012-12-31,-26.0,1,0.0015836215685256505,-0.013951944913698888,0.0015848761593404426
2012-12-06,1413.94,2012,12,6,Thursday,December,3,2012-12-31,-25.0,1,0.003301198087305224,-0.010650746826393664,0.003306653042688623
2012-12-07,1418.07,2012,12,7,Friday,December,4,2012-12-31,-24.0,1,0.002916658435379027,-0.007734088391014637,0.002920916021896147
2012-12-10,1418.55,2012,12,10,Monday,December,0,2012-12-31,-21.0,2,0.0003384309527412199,-0.0073956574382734175,0.00033848822695636827
2012-12-11,1427.84,2012,12,11,Tuesday,December,1,2012-12-31,-20.0,2,0.0065275896744818596,-0.0008680677637915579,0.0065489408198511345
2012-12-12,1428.48,2012,12,12,Wednesday,December,2,2012-12-31,-19.0,2,0.00044812906866908975,-0.0004199386951224682,0.00044822949350065144
2012-12-13,1419.45,2012,12,13,Thursday,December,3,2012-12-31,-18.0,2,-0.006341469250430443,-0.006761407945552911,-0.006321404569892497
2012-12-14,1413.58,2012,12,14,Friday,December,4,2012-12-31,-17.0,2,-0.004143978990863495,-0.010905386936416406,-0.0041354045581035725
2012-12-17,1430.36,2012,12,17,Monday,December,0,2012-12-31,-14.0,3,0.011800667190938974,0.000895280254522568,0.011870569759051541
2012-12-18,1446.79,2012,12,18,Tuesday,December,1,2012-12-31,-13.0,3,0.011421148426265404,0.012316428680787972,0.01148661875332091
2012-12-19,1435.81,2012,12,19,Wednesday,December,2,2012-12-31,-12.0,3,-0.0076181593722406404,0.0046982693085473315,-0.007589214744365136
2012-12-20,1443.69,2012,12,20,Thursday,December,3,2012-12-31,-11.0,3,0.005473186088517323,0.010171455397064655,0.0054881913345081745
2012-12-21,1430.15,2012,12,21,Friday,December,4,2012-12-31,-10.0,3,-0.009423002107228129,0.0007484532898365259,-0.009378744744370282
2012-12-24,1426.66,2012,12,24,Monday,December,0,2012-12-31,-7.0,4,-0.0024432858581224792,-0.0016948325682859533,-0.0024403034646715005
2012-12-26,1419.83,2012,12,26,Wednesday,December,2,2012-12-31,-5.0,4,-0.004798901880980644,-0.006493734449266597,-0.004787405548624113
2012-12-27,1418.1,2012,12,27,Thursday,December,3,2012-12-31,-4.0,4,-0.001219198651337905,-0.007712933100604502,-0.0012184557306156307
2012-12-28,1402.43,2012,12,28,Friday,December,4,2012-12-31,-3.0,4,-0.011111501189478012,-0.018824434290082515,-0.011049996474155499
2012-12-31,1426.19,2012,12,31,Monday,December,0,2012-12-31,0.0,5,0.016800106652477886,-0.002024327637604628,0.01694202206170714
2013-01-02,1462.42,2013,1,2,Wednesday,January,2,2013-01-31,-29.0,1,0.02508604482486465,0.023061717187260022,0.02540334738008254
2013-01-03,1459.37,2013,1,3,Thursday,January,3,2013-01-31,-28.0,1,-0.00208776202796912,0.020973955159290902,-0.0020855841687067445
2013-01-04,1466.47,2013,1,4,Friday,January,4,2013-01-31,-27.0,1,0.0048533166109665515,0.025827271770257454,0.004865113028224677
2013-01-07,1461.89,2013,1,7,Monday,January,0,2013-01-31,-24.0,1,-0.003128033257148388,0.022699238513109066,-0.0031231460582213932
2013-01-08,1457.15,2013,1,8,Tuesday,January,1,2013-01-31,-23.0,2,-0.0032476459151951076,0.019451592597913958,-0.0032423780174979377
2013-01-09,1461.02,2013,1,9,Wednesday,January,2,2013-01-31,-22.0,2,0.002652348745119326,0.022103941343033284,0.0026558693339737705
2013-01-10,1472.12,2013,1,10,Thursday,January,3,2013-01-31,-21.0,2,0.007568716794297714,0.029672658137331,0.007597431931116505
2013-01-11,1472.05,2013,1,11,Friday,January,4,2013-01-31,-20.0,2,-4.755160198843811e-05,0.02962510653534256,-4.755047142890323e-05
2013-01-14,1470.68,2013,1,14,Monday,January,0,2013-01-31,-17.0,2,-0.0009311082559246842,0.028693998279417876,-0.0009306749091402278
2013-01-15,1472.34,2013,1,15,Tuesday,January,1,2013-01-31,-16.0,3,0.0011280930309967019,0.029822091310414578,0.0011287295672748332
2013-01-16,1472.63,2013,1,16,Wednesday,January,2,2013-01-31,-15.0,3,0.00019694597971309236,0.03001903729012767,0.00019696537484570342
2013-01-17,1480.94,2013,1,17,Thursday,January,3,2013-01-31,-14.0,3,0.005627103422306767,0.03564614071243444,0.00564296530696784
2013-01-18,1485.98,2013,1,18,Friday,January,4,2013-01-31,-13.0,3,0.0033974659565911836,0.03904360666902562,0.0034032438856401726
2013-01-22,1492.56,2013,1,22,Tuesday,January,1,2013-01-31,-9.0,4,0.004418279226813482,0.0434618858958391,0.004428054213380994
2013-01-23,1494.81,2013,1,23,Wednesday,January,2,2013-01-31,-8.0,4,0.0015063419833829528,0.044968227879222056,0.0015074770863483522
2013-01-24,1494.82,2013,1,24,Thursday,January,3,2013-01-31,-7.0,4,6.689791044678373e-06,0.044974917670266734,6.689813421001389e-06
2013-01-25,1502.96,2013,1,25,Friday,January,4,2013-01-31,-6.0,4,0.005430698720871874,0.05040561639113861,0.005445471695588733
2013-01-28,1500.18,2013,1,28,Monday,January,0,2013-01-31,-3.0,4,-0.001851396068166089,0.04855422032297252,-0.0018496832916378159
2013-01-29,1507.84,2013,1,29,Tuesday,January,1,2013-01-31,-2.0,5,0.005093062252180758,0.05364728257515328,0.0051060539401937
2013-01-30,1501.96,2013,1,30,Wednesday,January,2,2013-01-31,-1.0,5,-0.00390724133204845,0.04974004124310483,-0.003899617996604321
2013-01-31,1498.11,2013,1,31,Thursday,January,3,2013-01-31,0.0,5,-0.0025666081881308145,0.04717343305497401,-0.0025633172654399017
2013-02-01,1513.17,2013,2,1,Friday,February,4,2013-02-28,-27.0,1,0.010002474404177342,0.057175907459151354,0.010052666359613216
2013-02-04,1495.71,2013,2,4,Monday,February,0,2013-02-28,-24.0,1,-0.011605777551404906,0.04557012990774645,-0.011538690299173315
2013-02-05,1511.29,2013,2,5,Tuesday,February,1,2013-02-28,-23.0,1,0.01036258025857606,0.05593271016632251,0.01041645773579103
2013-02-06,1512.12,2013,2,6,Wednesday,February,2,2013-02-28,-22.0,1,0.0005490489353752182,0.056481759101697726,0.0005491996903306262
2013-02-07,1509.39,2013,2,7,Thursday,February,3,2013-02-28,-21.0,1,-0.0018070439898467683,0.05467471511185096,-0.0018054122688674346
2013-02-08,1517.93,2013,2,8,Friday,February,4,2013-02-28,-20.0,2,0.00564196890558577,0.06031668401743673,0.005657914786768137
2013-02-11,1517.01,2013,2,11,Monday,February,0,2013-02-28,-17.0,2,-0.0006062723007245197,0.05971041171671221,-0.0006060885548082595
2013-02-12,1519.43,2013,2,12,Tuesday,February,1,2013-02-28,-16.0,2,0.0015939722256224087,0.06130438394233462,0.0015952432745993672
2013-02-13,1520.33,2013,2,13,Wednesday,February,2,2013-02-28,-15.0,2,0.0005921520293039606,0.06189653597163858,0.0005923273859276268
2013-02-14,1521.38,2013,2,14,Thursday,February,3,2013-02-28,-14.0,2,0.0006904011504760277,0.0625869371221146,0.0006906395322070491
2013-02-15,1519.79,2013,2,15,Friday,February,4,2013-02-28,-13.0,3,-0.0010456502891154074,0.0615412868329992,-0.0010451037873510094
2013-02-19,1530.94,2013,2,19,Tuesday,February,1,2013-02-28,-9.0,3,0.007309758416981005,0.0688510452499802,0.007336539916699136
2013-02-20,1511.95,2013,2,20,Wednesday,February,2,2013-02-28,-8.0,3,-0.012481717408259208,0.056369327841720995,-0.01240414385932831
2013-02-21,1502.42,2013,2,21,Thursday,February,3,2013-02-28,-7.0,3,-0.006323067010153061,0.050046260831567935,-0.0063031184893680425
2013-02-22,1515.6,2013,2,22,Friday,February,4,2013-02-28,-6.0,4,0.008734258744973467,0.0587805195765414,0.008772513677932858
2013-02-25,1487.85,2013,2,25,Monday,February,0,2013-02-28,-3.0,4,-0.01847927528433324,0.04030124429220816,-0.018309580364212152
2013-02-26,1496.94,2013,2,26,Tuesday,February,1,2013-02-28,-2.0,4,0.006090899595963428,0.04639214388817159,0.006109486843431933
2013-02-27,1515.99,2013,2,27,Wednesday,February,2,2013-02-28,-1.0,4,0.012645666418416468,0.05903781030658806,0.012725960960359162
2013-02-28,1514.68,2013,2,28,Thursday,February,3,2013-02-28,0.0,4,-0.0008644953634577845,0.05817331494313027,-0.000864121794998618
2013-03-01,1518.2,2013,3,1,Friday,March,4,2013-03-31,-30.0,1,0.0023212270716328476,0.06049454201476312,0.002323923204901268
2013-03-04,1525.2,2013,3,4,Monday,March,0,2013-03-31,-27.0,1,0.004600126400741367,0.06509466841550449,0.004610723224871549
2013-03-05,1539.79,2013,3,5,Tuesday,March,1,2013-03-31,-26.0,1,0.009520494489535736,0.07461516290504022,0.009565958562811394
2013-03-06,1541.46,2013,3,6,Wednesday,March,2,2013-03-31,-25.0,1,0.0010839757653693383,0.07569913867040956,0.0010845634794356407
2013-03-07,1544.26,2013,3,7,Thursday,March,3,2013-03-31,-24.0,1,0.0018148119521494976,0.07751395062255906,0.0018164597200056587
2013-03-08,1551.18,2013,3,8,Friday,March,4,2013-03-31,-23.0,2,0.004471100410919249,0.0819850510334783,0.004481110693795198
2013-03-11,1556.22,2013,3,11,Monday,March,0,2013-03-31,-20.0,2,0.0032438723173955353,0.08522892335087384,0.00324913936487059
2013-03-12,1552.48,2013,3,12,Tuesday,March,1,2013-03-31,-19.0,2,-0.002406151641789478,0.08282277170908436,-0.0024032591792934044
2013-03-13,1554.52,2013,3,13,Wednesday,March,2,2013-03-31,-18.0,2,0.0013131640123260624,0.08413593572141043,0.0013140265897144676
2013-03-14,1563.23,2013,3,14,Thursday,March,3,2013-03-31,-17.0,2,0.00558737721730207,0.0897233129387125,0.005603015721894922
2013-03-15,1560.7,2013,3,15,Friday,March,4,2013-03-31,-16.0,3,-0.0016197549581091764,0.08810355798060332,-0.0016184438630272302
2013-03-18,1552.1,2013,3,18,Monday,March,0,2013-03-31,-13.0,3,-0.005525585891368756,0.08257797208923456,-0.005510347920804848
2013-03-19,1548.34,2013,3,19,Tuesday,March,1,2013-03-31,-12.0,3,-0.0024254633815203874,0.08015250870771418,-0.002422524321886499
2013-03-20,1558.71,2013,3,20,Wednesday,March,2,2013-03-31,-11.0,3,0.006675166801552557,0.08682767550926673,0.006697495382151253
2013-03-21,1545.8,2013,3,21,Thursday,March,3,2013-03-31,-10.0,3,-0.008316980404400987,0.07851069510486575,-0.008282490007762933
2013-03-22,1556.89,2013,3,22,Friday,March,4,2013-03-31,-9.0,4,0.007148665982127156,0.0856593610869929,0.007174278690645686
2013-03-25,1551.69,2013,3,25,Monday,March,0,2013-03-31,-6.0,4,-0.0033455821309180678,0.08231377895607483,-0.0033399919069426742
2013-03-26,1563.77,2013,3,26,Tuesday,March,1,2013-03-31,-5.0,4,0.007754912943538805,0.09006869189961364,0.007785060160212298
2013-03-27,1562.85,2013,3,27,Wednesday,March,2,2013-03-31,-4.0,4,-0.0005884949412156004,0.08948019695839804,-0.0005883218120312783
2013-03-28,1569.19,2013,3,28,Thursday,March,3,2013-03-31,-3.0,4,0.004048485114815037,0.09352868207321308,0.004056691301148607
2013-04-01,1562.17,2013,4,1,Monday,April,0,2013-04-30,-29.0,1,-0.004483682336421602,0.08904499973679147,-0.0044736456388327905
2013-04-02,1570.25,2013,4,2,Tuesday,April,1,2013-04-30,-28.0,1,0.005158962029794267,0.09420396176658574,0.005172292388152311
2013-04-03,1553.69,2013,4,3,Wednesday,April,2,2013-04-30,-27.0,1,-0.010602095506201614,0.08360186626038413,-0.010546091386721801
2013-04-04,1559.98,2013,4,4,Thursday,April,3,2013-04-30,-26.0,1,0.004040253820289941,0.08764212008067407,0.004048426648816772
2013-04-05,1553.28,2013,4,5,Friday,April,4,2013-04-30,-25.0,1,-0.004304176550396832,0.08333794353027724,-0.004294926858036674
2013-04-08,1563.07,2013,4,8,Monday,April,0,2013-04-30,-22.0,2,0.006283011989032694,0.08962095551930993,0.006302791512154959
2013-04-09,1568.61,2013,4,9,Tuesday,April,1,2013-04-30,-21.0,2,0.003538040782594898,0.09315899630190483,0.003544307036792871
2013-04-10,1587.73,2013,4,10,Wednesday,April,2,2013-04-30,-20.0,2,0.012115446292433774,0.1052744425943386,0.012189135604133705
2013-04-11,1593.37,2013,4,11,Thursday,April,3,2013-04-30,-19.0,2,0.0035459469426655232,0.10882038953700413,0.003552241250086574
2013-04-12,1588.85,2013,4,12,Friday,April,4,2013-04-30,-18.0,2,-0.002840786017135777,0.10597960351986835,-0.0028367548027137257
2013-04-15,1552.36,2013,4,15,Monday,April,0,2013-04-30,-15.0,3,-0.023234130479997006,0.08274547303987134,-0.02296629637788339
2013-04-16,1574.57,2013,4,16,Tuesday,April,1,2013-04-30,-14.0,3,0.0142058655033237,0.09695133854319504,0.014307248318689014
2013-04-17,1552.01,2013,4,17,Wednesday,April,2,2013-04-30,-13.0,3,-0.014431354089724735,0.08251998445347031,-0.01432772121912651
2013-04-18,1541.61,2013,4,18,Thursday,April,3,2013-04-30,-12.0,3,-0.006723540175261888,0.07579644427820842,-0.006700987751367626
2013-04-19,1555.25,2013,4,19,Friday,April,4,2013-04-30,-11.0,3,0.008808979549016271,0.08460542382722469,0.008847892787410716
2013-04-22,1562.5,2013,4,22,Monday,April,0,2013-04-30,-8.0,4,0.00465079821542691,0.0892562220426516,0.004661629963028435
2013-04-23,1578.78,2013,4,23,Tuesday,April,1,2013-04-30,-7.0,4,0.010365294248898316,0.09962151629154992,0.010419200000000073
2013-04-24,1578.79,2013,4,24,Wednesday,April,2,2013-04-30,-6.0,4,6.333984678086324e-06,0.099627850276228,6.3340047378179776e-06
2013-04-25,1585.16,2013,4,25,Thursday,April,3,2013-04-30,-5.0,4,0.004026617744745664,0.10365446802097367,0.004034735461967864
2013-04-26,1582.24,2013,4,26,Friday,April,4,2013-04-30,-4.0,4,-0.0018437840671978734,0.1018106839537758,-0.0018420853415428429
2013-04-29,1593.61,2013,4,29,Monday,April,0,2013-04-30,-1.0,5,0.00716031838936626,0.10897100234314205,0.007186014763878923
2013-04-30,1597.57,2013,4,30,Tuesday,April,1,2013-04-30,0.0,5,0.002481841846996069,0.11145284419013812,0.0024849241658875254
2013-05-01,1582.7,2013,5,1,Wednesday,May,2,2013-05-31,-30.0,1,-0.009351475418805322,0.1021013687713328,-0.009307886352397654
2013-05-02,1597.59,2013,5,2,Thursday,May,3,2013-05-31,-29.0,1,0.00936399435369406,0.11146536312502686,0.009407973715801932
2013-05-03,1614.42,2013,5,3,Friday,May,4,2013-05-31,-28.0,1,0.010479515333145173,0.12194487845817203,0.010534617768013232
2013-05-06,1617.5,2013,5,6,Monday,May,0,2013-05-31,-25.0,1,0.0019059883489793705,0.1238508668071514,0.00190780589933226
2013-05-07,1625.96,2013,5,7,Tuesday,May,1,2013-05-31,-24.0,1,0.005216663184106629,0.12906752999125803,0.005230293663060381
2013-05-08,1632.69,2013,5,8,Wednesday,May,2,2013-05-31,-23.0,2,0.004130550730288007,0.13319808072154604,0.004139093212625067
2013-05-09,1626.67,2013,5,9,Thursday,May,3,2013-05-31,-22.0,2,-0.0036939809321392403,0.1295040997894068,-0.0036871665778561713
2013-05-10,1633.7,2013,5,10,Friday,May,4,2013-05-31,-21.0,2,0.004312400675151373,0.13381650046455817,0.004321712455507276
2013-05-13,1633.77,2013,5,13,Monday,May,0,2013-05-31,-18.0,2,4.2846606095992e-05,0.13385934707065417,4.284752402528014e-05
2013-05-14,1650.34,2013,5,14,Tuesday,May,1,2013-05-31,-17.0,2,0.010091099634557565,0.14395044670521173,0.01014218647667664
2013-05-15,1658.78,2013,5,15,Wednesday,May,2,2013-05-31,-16.0,3,0.005101065117815828,0.14905151182302756,0.005114097701079734
2013-05-16,1650.47,2013,5,16,Thursday,May,3,2013-05-31,-15.0,3,-0.005022296573084617,0.14402921524994294,-0.005009705928453401
2013-05-17,1667.47,2013,5,17,Friday,May,4,2013-05-31,-14.0,3,0.010247411805593742,0.15427662705553669,0.01030009633619522
2013-05-20,1666.29,2013,5,20,Monday,May,0,2013-05-31,-11.0,3,-0.0007079094171622557,0.15356871763837443,-0.0007076589084061835
2013-05-21,1669.16,2013,5,21,Tuesday,May,1,2013-05-31,-10.0,3,0.0017209076486217612,0.1552896252869962,0.001722389259972923
2013-05-22,1655.35,2013,5,22,Wednesday,May,2,2013-05-31,-9.0,4,-0.008308039040019644,0.14698158624697655,-0.008273622660500024
2013-05-23,1650.51,2013,5,23,Thursday,May,3,2013-05-31,-8.0,4,-0.0029281357699177946,0.14405345047705875,-0.0029238529616092412
2013-05-24,1649.6,2013,5,24,Friday,May,4,2013-05-31,-7.0,4,-0.0005514967822684014,0.14350195369479035,-0.0005513447358695966
2013-05-28,1660.06,2013,5,28,Tuesday,May,1,2013-05-31,-3.0,4,0.006320912013007884,0.14982286570779824,0.006340931134820593
2013-05-29,1648.36,2013,5,29,Wednesday,May,2,2013-05-31,-2.0,5,-0.007072892060328684,0.14274997364746955,-0.007047938026336409
2013-05-30,1654.41,2013,5,30,Thursday,May,3,2013-05-31,-1.0,5,0.003663595567895861,0.1464135692153654,0.0036703147370720224
2013-05-31,1630.74,2013,5,31,Friday,May,4,2013-05-31,0.0,5,-0.014410550273651346,0.13200301894171407,-0.014307215261029627
2013-06-03,1640.42,2013,6,3,Monday,June,0,2013-06-30,-27.0,1,0.005918407082218025,0.1379214260239321,0.005935955455805386
2013-06-04,1631.38,2013,6,4,Tuesday,June,1,2013-06-30,-26.0,1,-0.005526024209600244,0.13239540181433185,-0.005510783823654886
2013-06-05,1608.9,2013,6,5,Wednesday,June,2,2013-06-30,-25.0,1,-0.013875566725246813,0.11851983508908503,-0.013779744755973433
2013-06-06,1622.56,2013,6,6,Thursday,June,3,2013-06-30,-24.0,1,0.008454433206696699,0.12697426829578173,0.008490272857231584
2013-06-07,1643.38,2013,6,7,Friday,June,4,2013-06-30,-23.0,1,0.012749947667659356,0.1397242159634411,0.012831574795385103
2013-06-10,1642.81,2013,6,10,Monday,June,0,2013-06-30,-20.0,2,-0.0003469062992200733,0.13937730966422102,-0.0003468461341870066
2013-06-11,1626.13,2013,6,11,Tuesday,June,1,2013-06-30,-19.0,2,-0.010205231520756364,0.12917207814346465,-0.010153334834825611
2013-06-12,1612.52,2013,6,12,Wednesday,June,2,2013-06-30,-18.0,2,-0.008404786017583987,0.12076729212588067,-0.008369564548959874
2013-06-13,1636.36,2013,6,13,Thursday,June,3,2013-06-30,-17.0,2,0.01467609016145488,0.13544338228733555,0.014784312752710083
2013-06-14,1626.73,2013,6,14,Friday,June,4,2013-06-30,-16.0,2,-0.005902398007852305,0.12954098427948324,-0.0058850130778067555
2013-06-17,1639.04,2013,6,17,Monday,June,0,2013-06-30,-13.0,3,0.007538839723717494,0.13707982400320073,0.007567328321233413
2013-06-18,1651.81,2013,6,18,Tuesday,June,1,2013-06-30,-12.0,3,0.00776095178888081,0.14484077579208154,0.007791146036704388
2013-06-19,1628.93,2013,6,19,Wednesday,June,2,2013-06-30,-11.0,3,-0.013948298829170369,0.13089247696291118,-0.01385147202160053
2013-06-20,1588.19,2013,6,20,Thursday,June,3,2013-06-30,-10.0,3,-0.02532835452574478,0.1055641224371664,-0.025010282823694108
2013-06-21,1592.43,2013,6,21,Friday,June,4,2013-06-30,-9.0,3,0.002666148431195836,0.10823027086836223,0.002669705765683039
