Date,close,year,month,dom,day_name,month_name,dow,eom,days_to_eom,wom,returns,cum_returns
2015-04-17,2081.18,2015,4,17,Friday,April,4,2015-04-30,-13.0,3,-0.011375675981875943,0.37590415996159265
2015-04-20,2100.4,2015,4,20,Monday,April,0,2015-04-30,-10.0,3,0.009192762234206953,0.3850969221957996
2015-04-21,2097.29,2015,4,21,Tuesday,April,1,2015-04-30,-9.0,3,-0.0014817676241145605,0.38361515457168505
2015-04-22,2107.96,2015,4,22,Wednesday,April,2,2015-04-30,-8.0,4,0.005074620009561492,0.38868977458124654
2015-04-23,2112.93,2015,4,23,Thursday,April,3,2015-04-30,-7.0,4,0.002354954664484765,0.3910447292457313
2015-04-24,2117.69,2015,4,24,Friday,April,4,2015-04-30,-6.0,4,0.0022502621405813272,0.39329499138631263
2015-04-27,2108.92,2015,4,27,Monday,April,0,2015-04-30,-3.0,4,-0.00414990386441616,0.38914508752189647
2015-04-28,2114.76,2015,4,28,Tuesday,April,1,2015-04-30,-2.0,4,0.0027653627744772535,0.3919104502963737
2015-04-29,2106.85,2015,4,29,Wednesday,April,2,2015-04-30,-1.0,5,-0.0037473898615125734,0.38816306043486115
2015-04-30,2085.51,2015,4,30,Thursday,April,3,2015-04-30,0.0,5,-0.010180511364075606,0.37798254907078555
2015-05-01,2108.29,2015,5,1,Friday,May,4,2015-05-31,-30.0,1,0.010863762718013703,0.38884631178879925
2015-05-04,2114.49,2015,5,4,Monday,May,0,2015-05-31,-27.0,1,0.00293645629424244,0.3917827680830417
2015-05-05,2089.46,2015,5,5,Tuesday,May,1,2015-05-31,-26.0,1,-0.011907989281938036,0.37987477880110365
2015-05-06,2080.15,2015,5,6,Wednesday,May,2,2015-05-31,-25.0,1,-0.004465652889218852,0.3754091259118848
2015-05-07,2088.0,2015,5,7,Thursday,May,3,2015-05-31,-24.0,1,0.0037666635227395773,0.3791757894346244
2015-05-08,2116.1,2015,5,8,Friday,May,4,2015-05-31,-23.0,2,0.013368101838196367,0.39254389127282074
2015-05-11,2105.33,2015,5,11,Monday,May,0,2015-05-31,-20.0,2,-0.005102547415113179,0.38744134385770757
2015-05-12,2099.12,2015,5,12,Tuesday,May,1,2015-05-31,-19.0,2,-0.0029540151581350926,0.3844873286995725
2015-05-13,2098.48,2015,5,13,Wednesday,May,2,2015-05-31,-18.0,2,-0.0003049361563558506,0.3841823925432166
2015-05-14,2121.1,2015,5,14,Thursday,May,3,2015-05-31,-17.0,2,0.010721548914049528,0.39490394145726615
2015-05-15,2122.73,2015,5,15,Friday,May,4,2015-05-31,-16.0,3,0.0007681740692504491,0.3956721155265166
2015-05-18,2129.2,2015,5,18,Monday,May,0,2015-05-31,-13.0,3,0.0030433262041809073,0.3987154417306975
2015-05-19,2127.83,2015,5,19,Tuesday,May,1,2015-05-31,-12.0,3,-0.0006436412462660357,0.39807180048443147
2015-05-20,2125.85,2015,5,20,Wednesday,May,2,2015-05-31,-11.0,3,-0.0009309586724919328,0.39714084181193954
2015-05-21,2130.82,2015,5,21,Thursday,May,3,2015-05-31,-10.0,3,0.002335159764998984,0.3994760015769385
2015-05-22,2126.06,2015,5,22,Friday,May,4,2015-05-31,-9.0,4,-0.002236380628013457,0.39723962094892507
2015-05-26,2104.2,2015,5,26,Tuesday,May,1,2015-05-31,-5.0,4,-0.010335154142642189,0.3869044668062829
2015-05-27,2123.48,2015,5,27,Wednesday,May,2,2015-05-31,-4.0,4,0.00912090492178752,0.3960253717280704
2015-05-28,2120.79,2015,5,28,Thursday,May,3,2015-05-31,-3.0,4,-0.0012675915340860655,0.39475778019398433
2015-05-29,2107.39,2015,5,29,Friday,May,4,2015-05-31,-2.0,5,-0.006338445791358893,0.38841933440262544
2015-06-01,2111.73,2015,6,1,Monday,June,0,2015-06-30,-29.0,1,0.002057301774185838,0.3904766361768113
2015-06-02,2109.6,2015,6,2,Tuesday,June,1,2015-06-30,-28.0,1,-0.001009160705638834,0.38946747547117244
2015-06-03,2114.07,2015,6,3,Wednesday,June,2,2015-06-30,-27.0,1,0.0021166434256780775,0.3915841188968505
2015-06-04,2095.84,2015,6,4,Thursday,June,3,2015-06-30,-26.0,1,-0.00866057181541624,0.3829235470814343
2015-06-05,2092.83,2015,6,5,Friday,June,4,2015-06-30,-25.0,1,-0.0014372106268174534,0.3814863364546168
2015-06-08,2079.28,2015,6,8,Monday,June,0,2015-06-30,-22.0,2,-0.006495537098383686,0.37499079935623314
2015-06-09,2080.15,2015,6,9,Tuesday,June,1,2015-06-30,-21.0,2,0.0004183265556516602,0.3754091259118848
2015-06-10,2105.2,2015,6,10,Wednesday,June,2,2015-06-30,-20.0,2,0.011970467999834256,0.38737959391171906
2015-06-11,2108.86,2015,6,11,Thursday,June,3,2015-06-30,-19.0,2,0.0017370426241116732,0.38911663653583073
2015-06-12,2094.11,2015,6,12,Friday,June,4,2015-06-30,-18.0,2,-0.0070188750118900245,0.3820977615239407
2015-06-15,2084.43,2015,6,15,Monday,June,0,2015-06-30,-15.0,3,-0.00463320552938562,0.3774645559945551
2015-06-16,2096.29,2015,6,16,Tuesday,June,1,2015-06-30,-14.0,3,0.005673679086405592,0.3831382350809607
